Casecode,BMC_0009,BMC_0008,BMC_0007,BMC_0006,BMC_0005,BMC_0001,BMC_0002,BMC_0003,BMC_0004,MonteCarlo1,137i07,134sb01,134sb0103,134sb02,134sb01Br,134sb02Br,134sb03Br,134sb0103Br,134sb01CE,134sb02CE,134sb03CE,134sb0103CE,134sb02BG,134sb02BG_2MeV,134sb0103BG,134sb0103BG_2MeV
Histname,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_betas_vs_cycle_time,h_betas_vs_cycle_time,h_B_betas_vs_cycle_time,h_B_betas_vs_cycle_time,h_slow_vs_cycle_time,h_slow_vs_cycle_time,h_slow_vs_cycle_time,h_slow_vs_cycle_time,h_CE_vs_cycle_time,h_CE_vs_cycle_time,h_CE_vs_cycle_time,h_CE_vs_cycle_time,h_bg_vs_cycle_time,h_bg_gt2MeV_vs_cycle_time,h_bg_vs_cycle_time,h_bg_gt2MeV_vs_cycle_time
epsX_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsX_value,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsX_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsY_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsY_value,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsY_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsZ_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsZ_value,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsZ_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
gamT1_toggle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamT1_value,0.1,0,0.1,0.1,0.1,0.0666666667,0.0666666667,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamT1_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
gamT2_toggle,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gamT2_value,0.05,0,0.05,0.05,0.05,0.0666666667,0.0666666667,0.05,0.05,0,0,0.07225,0.07225,0.07225,0.07225,0,0.07225,0.07225,0.02399,0.09624,0.02399,0.09624,0.07225,0.07225,0.07225,0.07225
gamT2_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02399,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
gamT3_toggle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamT3_value,0.0333333333,0,0.0333333333,0.0333333333,0.0333333333,0.0666666667,0.0666666667,0.0333333333,0.0333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamT3_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
gamU1_toggle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamU1_value,0,0,0.025,0.025,0.025,0,0,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamU1_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
gamU2_toggle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamU2_value,0,0,0.02,0.02,0.02,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamU2_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
gamU3_toggle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamU3_value,0,0,0.0166666667,0.0166666667,0.0166666667,0,0,0.0166666667,0.0166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamU3_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
fit_options,QIROMES,QIROMES,QIROMES,QIROMES,QIROMES,QIROMES,QIROMES,QIROMES,QIROMES,QIROMES,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL,QIROMESLL
do_fit,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
monte_carlo,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has_DDC,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has_VWXY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
